2018-08-09 11:22:40,225 [tpServer.main()] INFO  DefaultTypeConverter           - Type converters loaded (core: 195, classpath: 0)
2018-08-09 11:22:40,235 [tpServer.main()] INFO  DefaultCamelContext            - Apache Camel 2.23.0-SNAPSHOT (CamelContext: camel-1) is starting
2018-08-09 11:22:40,237 [tpServer.main()] INFO  ManagedManagementStrategy      - JMX is enabled
2018-08-09 11:22:40,487 [tpServer.main()] INFO  DefaultCamelContext            - StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-08-09 11:22:40,511 [tpServer.main()] INFO  FtpEndpoint                    - Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-08-09 11:22:40,511 [tpServer.main()] INFO  FtpEndpoint                    - Using default memory based idempotent repository with cache max size: 1000
2018-08-09 11:22:40,574 [tpServer.main()] INFO  DefaultCamelContext            - Route: route1 started and consuming from: ftp://localhost:21?autoCreate=false&binary=true&delay=5s&localWorkDirectory=target%2Fftp-work&noop=true&passiveMode=true&password=xxxxxx&resumeDownload=true&transferLoggingIntervalSeconds=1&transferLoggingLevel=INFO&transferLoggingVerbose=false&username=bob
2018-08-09 11:22:40,574 [tpServer.main()] INFO  DefaultCamelContext            - Total 1 routes, of which 1 are started
2018-08-09 11:22:40,575 [tpServer.main()] INFO  DefaultCamelContext            - Apache Camel 2.23.0-SNAPSHOT (CamelContext: camel-1) started in 0.339 seconds
2018-08-09 11:22:47,579 [://localhost:21] WARN  FtpConsumer                    - Cannot connect/login to: ftp://bob@localhost:21. Will skip this poll.
2018-08-09 11:23:12,347 [ngupInterceptor] INFO  MainSupport$HangupInterceptor  - Received hang up - stopping the main instance.
2018-08-09 11:23:12,350 [ngupInterceptor] INFO  DefaultCamelContext            - Apache Camel 2.23.0-SNAPSHOT (CamelContext: camel-1) is shutting down
